"c_host_gene_response_id","c_pathogen_id","c_description","c_host_response_id","c_gene_id","c_curation_flag","c_response_type_vo_id","c_response_type_vo_id2"
2238,243,"Wetvax induced down-regulation of VAMP8 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.30 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3493,10,VO_0000239,
2239,243,"Wetvax induced down-regulation of VARS2 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, -0.27 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3494,10,VO_0000239,
2240,243,"Wetvax induced down-regulation of VCL in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.25 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3495,10,VO_0000239,
2241,243,"Wetvax induced down-regulation of VGLL4 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.32 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3496,10,VO_0000239,
2242,243,"Wetvax induced down-regulation of VPS35 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.22 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2914,10,VO_0000239,
2243,243,"Wetvax induced down-regulation of VPS45 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.21 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3498,10,VO_0000239,
2244,243,"Wetvax induced down-regulation of VPS72 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.41 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3499,10,VO_0000239,
2245,243,"Wetvax induced down-regulation of WDR54 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, -0.41 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3505,10,VO_0000239,
2246,243,"Wetvax induced down-regulation of WDR57 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.32 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3505,10,VO_0000239,
2247,243,"Wetvax induced down-regulation of PAAF71 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.26 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3507,10,VO_0000239,
2248,243,"Wetvax induced down-regulation of WISP2 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.33 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3508,10,VO_0000239,
2249,243,"Wetvax induced down-regulation of XYLB in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, -0.36 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3509,10,VO_0000239,
2250,243,"Wetvax induced down-regulation of YWHAH in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.29 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3511,10,VO_0000239,
2251,243,"Wetvax induced down-regulation of ZAP70 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, -0.38 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2750,10,VO_0000239,
2252,243,"Wetvax induced down-regulation of ZNF154 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.41 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3516,10,VO_0000239,
2253,243,"Wetvax induced down-regulation of ZNF211 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, -0.30 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3517,10,VO_0000239,
2254,243,"Wetvax induced down-regulation of ZNF226 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and -0.55 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3518,10,VO_0000239,
2255,243,"Wetvax induced down-regulation of ZNF266 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, -0.25 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3520,10,VO_0000239,
2256,243,"Wetvax induced down-regulation of ZNF526 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, -0.42 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3527,10,VO_0000239,
2257,243,"Wetvax induced down-regulation of ZNF692 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, -0.33 fold change 5-7 days after vaccination, and -0.27 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3530,10,VO_0000239,
2258,243,"Wetvax induced up-regulation of ACAD9 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.03 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2938,10,VO_0000569,
2259,243,"Wetvax induced up-regulation of ACBD5 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.31 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2939,10,VO_0000569,
2260,243,"Wetvax induced up-regulation of ACP2 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.52 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2940,10,VO_0000569,
2261,243,"Wetvax induced up-regulation of ACPP in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.37 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2941,10,VO_0000569,
2262,243,"Wetvax induced up-regulation of ADM in PBMC's extracted from human subjects: 0.48 fold change 2-4 days after vaccination, 0.88 fold change 5-7 days after vaccination, and 0.50 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1868,10,VO_0000569,
2263,243,"Wetvax induced up-regulation of AFAP1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.26 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2945,10,VO_0000569,
2264,243,"Wetvax induced up-regulation of AIF1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.55 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2946,10,VO_0000569,
2265,243,"Wetvax induced up-regulation of AIM1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.32 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2947,10,VO_0000569,
2266,243,"Wetvax induced up-regulation of AIM2 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.68 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2009,10,VO_0000569,
2267,243,"Wetvax induced up-regulation of ADLH1A1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.68 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2949,10,VO_0000569,
2268,243,"Wetvax induced up-regulation of ALDH3B1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.37 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2150,10,VO_0000569,
2269,243,"Wetvax induced up-regulation of ALPK1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.59 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2952,10,VO_0000569,
2270,243,"Wetvax induced up-regulation of ANKRD22 in PBMC's extracted from human subjects: 0.78 fold change 2-4 days after vaccination, 1.82 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2154,10,VO_0000569,
2271,243,"Wetvax induced up-regulation of ANXA2 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.21 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1475,10,VO_0000569,
2272,243,"Wetvax induced up-regulation of ANXA3 in PBMC's extracted from human subjects: 0.63 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2953,10,VO_0000569,
2273,243,"Wetvax induced up-regulation of ANXA4 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.29 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2954,10,VO_0000569,
2274,243,"Wetvax induced up-regulation of ANXA5 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.27 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2955,10,VO_0000569,
2275,243,"Wetvax induced up-regulation of AP1S2 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.26 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2956,10,VO_0000569,
2276,243,"Wetvax induced up-regulation of APOBEC3B in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.70 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1151,10,VO_0000569,
2277,243,"Wetvax induced up-regulation of APOL1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.82 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2957,10,VO_0000569,
2278,243,"Wetvax induced up-regulation of AQP9 in PBMC's extracted from human subjects: 0.43 fold change 2-4 days after vaccination, 0.54 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2958,10,VO_0000569,
2279,243,"Wetvax induced up-regulation of AREG in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.71 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2959,10,VO_0000569,
2280,243,"Wetvax induced up-regulation of ARID5A in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.40 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2960,10,VO_0000569,
2281,243,"Wetvax induced up-regulation of ARNT in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.41 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2961,10,VO_0000569,
2282,243,"Wetvax induced up-regulation of ARPC3 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.22 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2962,10,VO_0000569,
2283,243,"Wetvax induced up-regulation of ATF3 in PBMC's extracted from human subjects: 0.60 fold change 2-4 days after vaccination, 1.12 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2012,10,VO_0000569,
2284,243,"Wetvax induced up-regulation of ATF5 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.35 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2026,10,VO_0000569,
2285,243,"Wetvax induced up-regulation of ATM in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.46 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2246,10,VO_0000569,
2286,243,"Wetvax induced up-regulation of ATOX1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.40 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2966,10,VO_0000569,
2287,243,"Wetvax induced up-regulation of ATP1B3 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.42 fold change 5-7 days after vaccination, and 0.27 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2967,10,VO_0000569,
2288,243,"Wetvax induced up-regulation of B4GALT4 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.23 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2974,10,VO_0000569,
2289,243,"Wetvax induced up-regulation of BACH1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.52 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2975,10,VO_0000569,
2290,243,"Wetvax induced up-regulation of BAZ1A in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.31 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2976,10,VO_0000569,
2291,243,"Wetvax induced up-regulation of BCL2A1 in PBMC's extracted from human subjects: 0.42 fold change 2-4 days after vaccination, 0.68 fold change 5-7 days after vaccination, and 0.48 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2979,10,VO_0000569,
2292,243,"Wetvax induced up-regulation of BCL6 in PBMC's extracted from human subjects: 0.45 fold change 2-4 days after vaccination, 0.47 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2237,10,VO_0000569,
2293,243,"Wetvax induced up-regulation of XAF1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.52 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1442,10,VO_0000569,
2294,243,"Wetvax induced up-regulation of BLVRA in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.63 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1966,10,VO_0000569,
2295,243,"Wetvax induced up-regulation of BST1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.32 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2984,10,VO_0000569,
2296,243,"Wetvax induced up-regulation of BTG3 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.68 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2985,10,VO_0000569,
2297,243,"Wetvax induced up-regulation of FAM129A in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.32 fold change 5-7 days after vaccination, and 0.35 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2288,10,VO_0000569,
2298,243,"Wetvax induced up-regulation of THEMIS2 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.35 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2989,10,VO_0000569,
2299,243,"Wetvax induced up-regulation of C1QA in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.95 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1811,10,VO_0000569,
2300,243,"Wetvax induced up-regulation of C1QB in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 1.29 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2000,10,VO_0000569,
2301,243,"Wetvax induced up-regulation of C2 in PBMC's extracted from human subjects: 0.48 fold change 2-4 days after vaccination, 1.65 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2990,10,VO_0000569,
2302,243,"Wetvax induced up-regulation of HMCES in PBMC's extracted from human subjects: 0.38 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.45 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2993,10,VO_0000569,
2303,243,"Wetvax induced up-regulation of OSGIN1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.39 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2995,10,VO_0000569,
2304,243,"Wetvax induced up-regulation of CAMK2D in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.50 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2997,10,VO_0000569,
2305,243,"Wetvax induced up-regulation of CAPG in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.36 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2998,10,VO_0000569,
2306,243,"Wetvax induced up-regulation of CASP1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.60 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1438,10,VO_0000569,
2307,243,"Wetvax induced up-regulation of CASP3 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.31 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2999,10,VO_0000569,
2308,243,"Wetvax induced up-regulation of CASP4 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.37 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3000,10,VO_0000569,
2309,243,"Wetvax induced up-regulation of CASP5 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.50 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1823,10,VO_0000569,
2310,243,"Wetvax induced up-regulation of CASP7 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.64 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3001,10,VO_0000569,
2311,243,"Wetvax induced up-regulation of CAST in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.28 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3002,10,VO_0000569,
2312,243,"Wetvax induced up-regulation of MICU1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.32 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3003,10,VO_0000569,
2313,243,"Wetvax induced up-regulation of CCNE1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.41 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3007,10,VO_0000569,
2314,243,"Wetvax induced up-regulation of CCNL1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.48 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3008,10,VO_0000569,
2315,243,"Wetvax induced up-regulation of CCR1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.69 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1523,10,VO_0000569,
2316,243,"Wetvax induced up-regulation of CD163 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.21 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2133,10,VO_0000569,
2317,243,"Wetvax induced up-regulation of CD36 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.32 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1585,10,VO_0000569,
2318,243,"Wetvax induced up-regulation of CD40 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.69 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3013,10,VO_0000569,
2319,243,"Wetvax induced up-regulation of CD47 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.36 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3014,10,VO_0000569,
2320,243,"Wetvax induced up-regulation of CD55 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.48 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1494,10,VO_0000569,
2321,243,"Wetvax induced up-regulation of CD63 in PBMC's extracted from human subjects: 0.28 fold change 2-4 days after vaccination, 0.34 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3015,10,VO_0000569,
2322,243,"Wetvax induced up-regulation of CD74 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.45 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2111,10,VO_0000569,
2323,243,"Wetvax induced up-regulation of CDC73 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.36 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3021,10,VO_0000569,
2324,243,"Wetvax induced up-regulation of CDKN1B in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.48 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3022,10,VO_0000569,
2325,243,"Wetvax induced up-regulation of CDKN2C in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.29 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3023,10,VO_0000569,
2326,243,"Wetvax induced up-regulation of CEACAM1 in PBMC's extracted from human subjects: 0.47 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,1961,10,VO_0000569,
2327,243,"Wetvax induced up-regulation of CEBPB in PBMC's extracted from human subjects: 0.40 fold change 2-4 days after vaccination, 0.54 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2892,10,VO_0000569,
2328,243,"Wetvax induced up-regulation of CES1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.33 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3026,10,VO_0000569,
2329,243,"Wetvax induced up-regulation of CFI in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.47 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3027,10,VO_0000569,
2330,243,"Wetvax induced up-regulation of CHD1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.57 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3028,10,VO_0000569,
2331,243,"Wetvax induced up-regulation of CLEC2B in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.29 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3032,10,VO_0000569,
2332,243,"Wetvax induced up-regulation of CLK1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.31 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3034,10,VO_0000569,
2333,243,"Wetvax induced up-regulation of CLSTN3 in PBMC's extracted from human subjects: 0.60 fold change 2-4 days after vaccination, 0.98 fold change 5-7 days after vaccination, and 0.68 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3035,10,VO_0000569,
2334,243,"Wetvax induced up-regulation of CNIH4 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.27 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3037,10,VO_0000569,
2335,243,"Wetvax induced up-regulation of COL4A5 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.40 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3039,10,VO_0000569,
2336,243,"Wetvax induced up-regulation of CPVL in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.44 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3041,10,VO_0000569,
2337,243,"Wetvax induced up-regulation of CREG1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.43 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,2721,10,VO_0000569,
2338,243,"Wetvax induced up-regulation of CREM in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.61 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3042,10,VO_0000569,
2339,243,"Wetvax induced up-regulation of CRH in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.67 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3043,10,VO_0000569,
2340,243,"Wetvax induced up-regulation of LUC7L3 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.32 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3045,10,VO_0000569,
2341,243,"Wetvax induced up-regulation of CRTAM in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.27 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3046,10,VO_0000569,
2342,243,"Wetvax induced up-regulation of CSNK1A1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0 fold change 5-7 days after vaccination, and 0.34 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3047,10,VO_0000569,
2343,243,"Wetvax induced up-regulation of CTNNA1 in PBMC's extracted from human subjects: 0 fold change 2-4 days after vaccination, 0.34 fold change 5-7 days after vaccination, and 0 fold change 50-60 days after vaccination [Ref3345:Scherer et al., 2007]",1904,3051,10,VO_0000569,
